job_key,job_id,category,category_clean,job_title,skill_count,description_word_count,is_true_data_science_role,data_role_family,classification_reason,seniority_level,is_internship_role,student_job_match_score
JOB_3899544157,3899544157,HR,Hr,Vice President Human Resources,25,1290,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Senior / Management,No,0.0
JOB_3902806579,3902806579,HR,Hr,Human Resources Generalist,26,655,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Mid / Not Specified,No,0.0
JOB_3901343703,3901343703,HR,Hr,Senior Human Resources Business Partner,36,724,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Senior / Management,No,0.0
JOB_3899526643,3899526643,HR,Hr,Human Resources Generalist,21,403,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Mid / Not Specified,No,0.0
JOB_3901650285,3901650285,HR,Hr,Human Resources Manager,17,278,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Senior / Management,No,0.0
JOB_3900082118,3900082118,HR,Hr,Human Resources Co-Op - Summer 2024,19,311,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Mid / Not Specified,No,0.0
JOB_3894947629,3894947629,HR,Hr,Human Resources Manager,10,112,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Senior / Management,No,0.0
JOB_3901939857,3901939857,HR,Hr,Human Resources Generalist,21,484,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Mid / Not Specified,No,0.0
JOB_3905297142,3905297142,HR,Hr,Human Resources Specialist 1/Trainee 1/2 - HELPS,15,829,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Internship,Yes,0.0
JOB_3902829415,3902829415,HR,Hr,Human Resources Manager,18,729,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Senior / Management,No,0.0
JOB_3894288438,3894288438,HR,Hr,Senior Human Resources Specialist,18,1076,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Senior / Management,No,0.0
JOB_3902880391,3902880391,HR,Hr,Senior Human Resources Business Partner,23,972,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Senior / Management,No,0.0
JOB_3904991969,3904991969,HR,Hr,Fixed-Term Appointment: UN Women Human Resources Business Partner,20,1543,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Mid / Not Specified,No,0.0
JOB_3886485488,3886485488,HR,Hr,Human Resources Manager,23,341,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Senior / Management,No,0.0
JOB_3902876855,3902876855,HR,Hr,Human Resources Coordinator,14,499,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Mid / Not Specified,No,0.0
JOB_3894278517,3894278517,HR,Hr,Human Resources Information System Partner III,15,624,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Mid / Not Specified,No,0.0
JOB_3884912913,3884912913,HR,Hr,Human Resources Business Partner,17,967,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Mid / Not Specified,No,0.0
JOB_3902810661,3902810661,HR,Hr,Human Resources Generalist,10,186,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Mid / Not Specified,No,0.0
JOB_3898137449,3898137449,HR,Hr,Human Resources Summer 2024 Internship,10,444,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Internship,Yes,0.0
JOB_3904923783,3904923783,HR,Hr,Human Resources Operations Coordinator,14,428,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Mid / Not Specified,No,0.0
JOB_3887835929,3887835929,HR,Hr,Human Resources Associate,23,267,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Entry / Junior,No,0.0
JOB_3902740857,3902740857,HR,Hr,Human Resources Manager,20,907,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Senior / Management,No,0.0
JOB_3715891138,3715891138,HR,Hr,Human Resources Manager,35,444,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Senior / Management,No,0.0
JOB_3904406321,3904406321,HR,Hr,Human Resources Intern,16,300,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Internship,Yes,0.0
JOB_3891014745,3891014745,HR,Hr,Senior Human Resources Generalist,21,494,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Senior / Management,No,0.0
JOB_3902747307,3902747307,HR,Hr,Human Resources Business Partner,20,1000,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Mid / Not Specified,No,0.0
JOB_3906227054,3906227054,HR,Hr,Human Resources Assistant,17,339,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Mid / Not Specified,No,0.0
JOB_3905298637,3905298637,HR,Hr,Human Resources Business Partner,17,618,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Mid / Not Specified,No,0.0
JOB_3898176212,3898176212,HR,Hr,Vice President Human Resources,25,669,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Senior / Management,No,0.0
JOB_3899526653,3899526653,HR,Hr,Human Resources Intern,10,198,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Internship,Yes,0.0
JOB_3901635742,3901635742,HR,Hr,Human Resources Director,31,1113,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Senior / Management,No,0.0
JOB_3899523473,3899523473,HR,Hr,Human Resources Representative,16,476,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Mid / Not Specified,No,0.0
JOB_3903896684,3903896684,HR,Hr,Human Resources Business Partner,22,1029,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Mid / Not Specified,No,0.0
JOB_3884432431,3884432431,HR,Hr,Human Resource Manager,16,261,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Senior / Management,No,0.0
JOB_3904373238,3904373238,HR,Hr,Human Resources Generalist,17,339,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Mid / Not Specified,No,0.0
JOB_3900945008,3900945008,HR,Hr,Senior Human Resources Manager,21,496,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Senior / Management,No,0.0
JOB_3901983432,3901983432,HR,Hr,District Human Resources Manager (Pensacola),24,1201,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Senior / Management,No,0.0
JOB_3887475102,3887475102,HR,Hr,Human Resources Generalist,19,430,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Mid / Not Specified,No,0.0
JOB_3902351802,3902351802,HR,Hr,Human Resources Manager,20,678,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Senior / Management,No,0.0
JOB_3905272928,3905272928,HR,Hr,Human Resources Specialist,20,473,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Mid / Not Specified,No,0.0
JOB_3891077739,3891077739,HR,Hr,Human Resources Generalist,14,121,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Mid / Not Specified,No,0.0
JOB_3902835237,3902835237,HR,Hr,Sr. Area Human Resource Manager,22,525,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Senior / Management,No,0.0
JOB_3884841822,3884841822,HR,Hr,Human Resources Assistant,17,517,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Mid / Not Specified,No,0.0
JOB_3901936391,3901936391,HR,Hr,Human Resources Administrator,12,183,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Mid / Not Specified,No,0.0
JOB_3902357327,3902357327,HR,Hr,Human Resources Coordinator,14,301,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Mid / Not Specified,No,0.0
JOB_3902364806,3902364806,HR,Hr,Human Resources Manager,13,221,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Senior / Management,No,0.0
JOB_3902828543,3902828543,HR,Hr,Chief Human Resource Officer,16,254,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Senior / Management,No,0.0
JOB_3902752787,3902752787,HR,Hr,"Executive Director of Human Resources, Spaulding Rehabilitation Hospital",26,781,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Senior / Management,No,0.0
JOB_3901636810,3901636810,HR,Hr,Human Resources Coordinator,16,687,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Mid / Not Specified,No,0.0
JOB_3887474527,3887474527,HR,Hr,Human Resources Generalist,18,625,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Mid / Not Specified,No,0.0
JOB_3901349998,3901349998,HR,Hr,Human Resources Coordinator,16,524,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Mid / Not Specified,No,0.0
JOB_3904947962,3904947962,HR,Hr,Vice President Human Resources,20,272,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Senior / Management,No,0.0
JOB_3904086620,3904086620,HR,Hr,Human Resources Generalist,16,310,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Mid / Not Specified,No,0.0
JOB_3887481930,3887481930,HR,Hr,Director of Human Resources,23,572,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Senior / Management,No,0.0
JOB_3891005007,3891005007,HR,Hr,Human Resources Manager,21,548,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Senior / Management,No,0.0
JOB_3905882432,3905882432,HR,Hr,Human Resources Director,23,404,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Senior / Management,No,0.0
JOB_3898173889,3898173889,HR,Hr,"Intern, Talent Management, Human Resources",14,745,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Internship,Yes,0.0
JOB_3901630033,3901630033,HR,Hr,Human Resources Generalist,15,264,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Mid / Not Specified,No,0.0
JOB_3905304763,3905304763,HR,Hr,Senior Human Resources Business Partner,27,715,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Senior / Management,No,0.0
JOB_3891081144,3891081144,HR,Hr,Human Resources Director,23,546,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Senior / Management,No,0.0
JOB_3902831427,3902831427,HR,Hr,Human Resources Director,15,218,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Senior / Management,No,0.0
JOB_3890895200,3890895200,HR,Hr,Human Resources Lead,28,570,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Senior / Management,No,0.0
JOB_3901483670,3901483670,HR,Hr,Human Resources Administrative Assistant,15,156,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Mid / Not Specified,No,0.0
JOB_3894877672,3894877672,HR,Hr,Human Resources Coordinator,20,578,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Mid / Not Specified,No,0.0
JOB_3889758336,3889758336,HR,Hr,[HYBRID] Human Resources Manager,21,373,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Senior / Management,No,0.0
JOB_3905288339,3905288339,HR,Hr,Vice President of Human Resources (R1881),22,769,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Senior / Management,No,0.0
JOB_3905822969,3905822969,HR,Hr,Human Resources Specialist,15,240,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Mid / Not Specified,No,0.0
JOB_3905297820,3905297820,HR,Hr,"Director, Human Resources",35,904,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Senior / Management,No,0.0
JOB_3903477580,3903477580,HR,Hr,Human Resources Director,18,382,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Senior / Management,No,0.0
JOB_3906230219,3906230219,HR,Hr,Human Resources Coordinator,19,432,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Mid / Not Specified,No,0.0
JOB_3905264431,3905264431,HR,Hr,Human Resources & Administrative Associate,14,153,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Entry / Junior,No,0.0
JOB_3904364112,3904364112,HR,Hr,Human Resources Generalist,14,173,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Mid / Not Specified,No,0.0
JOB_3901635707,3901635707,HR,Hr,Human Resources Manager,16,248,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Senior / Management,No,0.0
JOB_3899539354,3899539354,HR,Hr,Senior Vice President Human Resources,17,157,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Senior / Management,No,0.0
JOB_3903451207,3903451207,HR,Hr,Human Resources Generalist,20,602,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Mid / Not Specified,No,0.0
JOB_3905862468,3905862468,HR,Hr,"Manager, Human Resources",21,963,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Senior / Management,No,0.0
JOB_3894293970,3894293970,HR,Hr,Human Resource Generalist,28,605,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Mid / Not Specified,No,0.0
JOB_3902834350,3902834350,HR,Hr,Strategic Global Human Resource Business Partner,23,965,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Mid / Not Specified,No,0.0
JOB_3903458736,3903458736,HR,Hr,Human Resources Administrator,25,538,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Mid / Not Specified,No,0.0
JOB_3904718244,3904718244,HR,Hr,Human Resources Advisor,13,882,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Mid / Not Specified,No,0.0
JOB_3902805250,3902805250,HR,Hr,Human Resources Manager,20,813,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Senior / Management,No,0.0
JOB_3890898270,3890898270,HR,Hr,Human Resources Manager,19,374,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Senior / Management,No,0.0
JOB_3904583492,3904583492,HR,Hr,VP of Human Resources Americas,18,237,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Senior / Management,No,0.0
JOB_3902347377,3902347377,HR,Hr,Director of Human Resources,16,285,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Senior / Management,No,0.0
JOB_3898167129,3898167129,HR,Hr,Human Resources Business Partner,18,177,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Mid / Not Specified,No,0.0
JOB_3901392513,3901392513,HR,Hr,Human Resources Generalist,23,582,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Mid / Not Specified,No,0.0
JOB_3903839290,3903839290,HR,Hr,Human Resources Workforce Support Specialist,19,664,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Mid / Not Specified,No,0.0
JOB_3901932974,3901932974,HR,Hr,Human Resources Generalist,20,425,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Mid / Not Specified,No,0.0
JOB_3905339352,3905339352,HR,Hr,Senior Human Resources Clerk,20,1106,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Senior / Management,No,0.0
JOB_3900066258,3900066258,HR,Hr,Human Resources Generalist,21,625,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Mid / Not Specified,No,0.0
JOB_3905350403,3905350403,HR,Hr,Human Resources Coordinator,19,575,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Mid / Not Specified,No,0.0
JOB_3903855227,3903855227,HR,Hr,Human Resources Specialist,15,394,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Mid / Not Specified,No,0.0
JOB_3904382813,3904382813,HR,Hr,Senior Human Resources Generalist,18,418,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Senior / Management,No,0.0
JOB_3905381062,3905381062,HR,Hr,Temporary Human Resources Business Partner (HRBP),23,1072,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Mid / Not Specified,No,0.0
JOB_3905876643,3905876643,HR,Hr,Human Resources/Business Office Manager,26,554,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Senior / Management,No,0.0
JOB_3905202804,3905202804,HR,Hr,Human Resources Manager,21,456,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Senior / Management,No,0.0
JOB_3894550753,3894550753,HR,Hr,Human Resources Coordinator (Entry Level),16,454,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Entry / Junior,No,0.0
JOB_3887883158,3887883158,HR,Hr,Human Resources Coordinator - Hilton Fort Lauderdale Beach Resort,20,361,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Mid / Not Specified,No,0.0
JOB_3903487939,3903487939,HR,Hr,Human Resources Business Partner,20,395,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Mid / Not Specified,No,0.0
JOB_3905240750,3905240750,HR,Hr,Human Resources Assistant,12,422,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Mid / Not Specified,No,0.0
JOB_3901340617,3901340617,HR,Hr,Human Resources Administrator,18,416,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Mid / Not Specified,No,0.0
JOB_3885116060,3885116060,HR,Hr,Human Resources Business Partner,20,809,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Mid / Not Specified,No,0.0
JOB_3901672756,3901672756,HR,Hr,Human Resource Lead,19,321,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Senior / Management,No,0.0
JOB_3906221851,3906221851,HR,Hr,Human Resources Specialist,18,528,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Mid / Not Specified,No,0.0
JOB_3902925156,3902925156,HR,Hr,Human Resources Generalist,21,881,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Mid / Not Specified,No,0.0
JOB_3884832831,3884832831,HR,Hr,Human Resource Generalist,18,747,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Mid / Not Specified,No,0.0
JOB_3886896748,3886896748,HR,Hr,Human Resources Business Partner,16,483,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Mid / Not Specified,No,0.0
JOB_3904923211,3904923211,HR,Hr,Human Resources and General Affairs Manager,20,935,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Senior / Management,No,0.0
JOB_3895849293,3895849293,HR,Hr,Human Resources Director,43,1112,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Senior / Management,No,0.0
JOB_3905251874,3905251874,HR,Hr,Human Resources Manager,20,363,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Senior / Management,No,0.0
JOB_3901167349,3901167349,HR,Hr,Human Resources Business Partner,21,767,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Mid / Not Specified,No,0.0
JOB_3901632117,3901632117,HR,Hr,Human Resources Business Partner (HRBP),22,367,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Mid / Not Specified,No,0.0
JOB_3904710183,3904710183,HR,Hr,Human Resources Generalist,21,514,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Mid / Not Specified,No,0.0
JOB_3862673730,3862673730,HR,Hr,AOC Human Resources Project Manager,26,896,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Senior / Management,No,0.0
JOB_3904084041,3904084041,HR,Hr,Human Resources Generalist,10,257,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Mid / Not Specified,No,0.0
JOB_3904388397,3904388397,HR,Hr,"Senior Human Resources Generalist - Oklahoma City, OK",14,548,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Senior / Management,No,0.0
JOB_3904930352,3904930352,HR,Hr,Senior Human Resources Manager,18,432,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Senior / Management,No,0.0
JOB_3904967523,3904967523,HR,Hr,Regional Human Resources Generalist,16,615,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Mid / Not Specified,No,0.0
JOB_3899534687,3899534687,HR,Hr,Human Resources Analyst,20,408,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Mid / Not Specified,No,0.0
JOB_3894554212,3894554212,HR,Hr,Human Resources Manager,20,508,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Senior / Management,No,0.0
JOB_3902845594,3902845594,HR,Hr,Human Resources Generalist,15,262,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Mid / Not Specified,No,0.0
JOB_3906223649,3906223649,HR,Hr,Senior Human Resources Business Partner,20,946,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Senior / Management,No,0.0
JOB_3905821383,3905821383,HR,Hr,Senior Human Resources Assistant,20,1289,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Senior / Management,No,0.0
JOB_3905255940,3905255940,HR,Hr,"Human Resources Generalist - Lincoln, NE",25,831,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Mid / Not Specified,No,0.0
JOB_3904576579,3904576579,HR,Hr,Senior Human Resources Business Partner,22,853,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Senior / Management,No,0.0
JOB_3884810573,3884810573,HR,Hr,Human Resources Supervisor (On-site),19,682,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Mid / Not Specified,No,0.0
JOB_3905202142,3905202142,HR,Hr,Human Resources Coordinator,17,262,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Mid / Not Specified,No,0.0
JOB_3888028986,3888028986,HR,Hr,Human Resources Generalist,17,346,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Mid / Not Specified,No,0.0
JOB_3906086601,3906086601,HR,Hr,Human Resources Generalist,18,392,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Mid / Not Specified,No,0.0
JOB_3906223265,3906223265,HR,Hr,Human Resources Assistant,17,339,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Mid / Not Specified,No,0.0
